id,name,position,team,now_cost,expected_points,total_points
541,Reinildo Mandava,DEF,Sunderland,40,0.0,0
57,Lewis Dobbin,MID,Aston Villa,50,0.0,0
87,Ryan Christie,MID,Bournemouth,50,1.74,1
216,Zeki Amdouni,FWD,Burnley,49,0.0,0
612,Lucas Tolentino Coelho de Lima,MID,West Ham,59,3.11,1
672,Jorrel Hato,DEF,Chelsea,48,1.83,1
133,Myles Peart-Harris,MID,Brentford,45,0.03,0
193,Bashir Humphreys,DEF,Burnley,40,0.32,0
92,Romain Faivre,MID,Bournemouth,45,0.0,0
203,Enock Agyei,MID,Burnley,48,0.05,0
306,Callum Bates,MID,Everton,45,0.01,0
289,Harry Tyrer,GK,Everton,40,0.0,0
184,Etienne Green,GK,Burnley,40,0.0,0
574,Destiny Udogie,DEF,Spurs,44,2.62,2
529,Simon Moore,GK,Sunderland,40,0.0,0
96,Ben Winterburn,MID,Bournemouth,45,0.0,0
592,Mikey Moore,MID,Spurs,50,0.0,0
593,Pape Matar Sarr,MID,Spurs,50,1.76,1
105,Hákon Rafn Valdimarsson,GK,Brentford,40,0.03,0
460,Toby Collyer,MID,Man Utd,45,0.0,0
72,Marcos Senesi Barón,DEF,Bournemouth,49,4.28,2
395,Tyler Morton,MID,Liverpool,45,0.0,0
386,Alexis Mac Allister,MID,Liverpool,63,2.73,2
643,André Trindade da Costa Neto,MID,Wolves,54,2.62,3
563,Luís Hemir Silva Semedo,FWD,Sunderland,44,0.0,0
326,Adama Traoré Diarra,MID,Fulham,53,2.67,1
166,Yasin Ayari,MID,Brighton,49,3.23,2
422,Mateo Kovačić,MID,Man City,59,0.74,0
310,Thierno Barry,FWD,Everton,58,1.79,1
608,Ollie Scarles,DEF,West Ham,44,0.55,0
410,Rico Lewis,DEF,Man City,50,2.21,0
350,Brenden Aaronson,MID,Leeds,54,3.42,5
561,Eliezer Mayenda Dossou,FWD,Sunderland,55,0.86,1
315,Steven Benda,GK,Fulham,40,0.0,0
10,Myles Lewis-Skelly,DEF,Arsenal,53,0.91,1
633,Hugo Bueno López,DEF,Wolves,44,2.53,8
546,Milan Aleksić,MID,Sunderland,49,0.0,0
637,Toti Gomes,DEF,Wolves,44,0.0,0
267,Ismaïla Sarr,MID,Crystal Palace,64,4.0,7
406,Abdukodir Khusanov,DEF,Man City,54,0.0,0
432,André Onana,GK,Man Utd,49,0.0,0
690,Rio Cardines,MID,Crystal Palace,44,0.04,0
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,1.49,2
549,Dan Neil,MID,Sunderland,49,0.35,0
242,Kiernan Dewsbury-Hall,MID,Everton,50,0.0,0
478,Kieran Trippier,DEF,Newcastle,50,3.44,6
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,55,3.04,1
477,Tino Livramento,DEF,Newcastle,51,0.0,0
320,Issa Diop,DEF,Fulham,44,0.45,2
465,Rasmus Højlund,FWD,Man Utd,63,0.0,0
599,Dane Scarlett,FWD,Spurs,44,0.04,0
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,3.88,2
265,Caleb Kporha,DEF,Crystal Palace,40,0.0,0
591,Archie Gray,MID,Spurs,49,0.33,0
552,Noah Sadiki,MID,Sunderland,50,2.61,1
415,Sávio Moreira de Oliveira,MID,Man City,69,1.62,3
106,Nathan Collins,DEF,Brentford,50,2.32,2
459,Manuel Ugarte Ribeiro,MID,Man Utd,49,0.87,1
473,Lewis Hall,DEF,Newcastle,53,2.94,0
230,Wesley Fofana,DEF,Chelsea,44,0.0,0
333,Martial Godo,MID,Fulham,45,0.0,0
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0
602,Krisztián Hegyi,GK,West Ham,40,0.0,0
270,Will Hughes,MID,Crystal Palace,49,2.15,0
456,Jadon Sancho,MID,Aston Villa,59,1.61,0
697,Amine Adli,MID,Bournemouth,55,1.75,0
575,Micky van de Ven,DEF,Spurs,48,3.0,2
606,Konstantinos Mavropanos,DEF,West Ham,44,1.92,3
631,Emmanuel Agbadou,DEF,Wolves,45,2.64,1
424,Oscar Bobb,MID,Man City,55,2.14,3
212,Oluwaseun Adewumi,MID,Burnley,45,0.0,0
124,Jordan Henderson,MID,Brentford,50,2.32,1
329,Harry Wilson,MID,Fulham,53,2.93,3
684,Malick Thiaw,DEF,Newcastle,49,3.15,8
604,Emerson Palmieri dos Santos,DEF,West Ham,44,0.0,0
396,Trey Nyoni,MID,Liverpool,44,0.01,0
709,Ladislav Krejcí,DEF,Wolves,45,2.98,2
228,Malo Gusto,DEF,Chelsea,49,1.93,5
418,Jérémy Doku,MID,Man City,66,3.73,1
701,Triston Rowe,DEF,Aston Villa,40,0.0,0
619,Luis Guilherme Lira dos Santos,MID,West Ham,49,0.98,0
248,Kendry Páez Andrade,MID,Chelsea,45,0.0,0
274,Asher Agbinone,MID,Crystal Palace,45,0.03,0
502,Matz Sels,GK,Nott'm Forest,49,2.57,3
713,Álex Jiménez Sánchez,DEF,Bournemouth,45,2.49,1
524,Marko Stamenić,MID,Nott'm Forest,45,0.0,0
658,Nathan Fraser,FWD,Wolves,44,0.02,0
179,Evan Ferguson,FWD,Brighton,55,0.0,0
302,Idrissa Gana Gueye,MID,Everton,54,3.32,2
276,Justin Devenny,MID,Crystal Palace,45,0.86,1
341,Karl Darlow,GK,Leeds,40,3.15,1
100,Junior Kroupi,FWD,Bournemouth,45,0.95,0
544,Habib Diarra,MID,Sunderland,54,0.0,0
91,Luis Sinisterra Lucumí,MID,Bournemouth,50,0.0,0
9,Jakub Kiwior,DEF,Arsenal,54,0.0,0
655,Fábio Soares Silva,FWD,Wolves,49,0.0,0
67,Đorđe Petrović,GK,Bournemouth,45,3.61,3
600,Alphonse Areola,GK,West Ham,43,0.02,2
5,Gabriel dos Santos Magalhães,DEF,Arsenal,62,4.51,9
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0
680,Armando Broja,FWD,Burnley,53,1.17,1
229,Benoît Badiashile Mukinayi,DEF,Chelsea,44,1.63,1
739,Divine Mukasa,MID,Man City,45,0.06,0
234,Aarón Anselmino,DEF,Chelsea,40,0.0,0
644,Jean-Ricner Bellegarde,MID,Wolves,53,1.78,1
334,Luke Harris,MID,Fulham,45,0.0,0
507,Ola Aina,DEF,Nott'm Forest,48,0.0,0
387,Dominik Szoboszlai,MID,Liverpool,65,3.4,1
