id,name,position,team,now_cost,expected_points,total_points,minutes
1,David Raya Martín,GK,Arsenal,57,4.19,6,90
2,Kepa Arrizabalaga Revuelta,GK,Arsenal,43,0.05,0,0
4,Tommy Setford,GK,Arsenal,40,0.0,0,0
5,Gabriel dos Santos Magalhães,DEF,Arsenal,64,2.67,9,90
6,William Saliba,DEF,Arsenal,60,4.69,1,45
7,Riccardo Calafiori,DEF,Arsenal,58,4.26,6,81
8,Jurriën Timber,DEF,Arsenal,60,4.47,6,90
10,Myles Lewis-Skelly,DEF,Arsenal,52,1.09,1,2
11,Benjamin White,DEF,Arsenal,54,0.92,0,0
12,Oleksandr Zinchenko,DEF,Nott'm Forest,49,1.37,0,0
13,Brayden Clarke,DEF,Arsenal,39,0.0,0,0
15,Josh Nichols,DEF,Arsenal,39,0.0,0,0
16,Bukayo Saka,MID,Arsenal,100,6.13,3,65
17,Martin Ødegaard,MID,Arsenal,79,0.0,0,0
18,Noni Madueke,MID,Arsenal,69,0.0,0,0
19,Gabriel Martinelli Silva,MID,Arsenal,69,0.8,1,24
20,Leandro Trossard,MID,Arsenal,69,3.19,3,90
21,Declan Rice,MID,Arsenal,66,4.19,7,81
22,Mikel Merino Zazón,MID,Arsenal,59,2.21,1,8
24,Christian Nørgaard,MID,Arsenal,53,0.23,0,0
25,Ethan Nwaneri,MID,Arsenal,52,0.52,0,0
26,Martín Zubimendi Ibáñez,MID,Arsenal,55,3.4,5,90
27,Reiss Nelson,MID,Brentford,48,0.17,0,0
30,Kai Havertz,FWD,Arsenal,73,0.0,0,0
31,Gabriel Fernando de Jesus,FWD,Arsenal,64,0.0,0,0
32,Emiliano Martínez Romero,GK,Aston Villa,50,2.62,8,90
33,Marco Bizot,GK,Aston Villa,44,0.03,0,0
36,Matty Cash,DEF,Aston Villa,46,2.57,15,90
37,Lucas Digne,DEF,Aston Villa,45,2.39,6,85
38,Ezri Konsa Ngoyo,DEF,Aston Villa,45,2.19,8,90
39,Ian Maatsen,DEF,Aston Villa,43,0.64,1,4
40,Tyrone Mings,DEF,Aston Villa,45,0.72,0,0
41,Pau Torres,DEF,Aston Villa,43,2.03,8,90
42,Andrés García,DEF,Aston Villa,39,0.0,0,0
44,Lamare Bogarde,DEF,Aston Villa,40,0.79,0,0
45,Lino da Cruz Sousa,DEF,Aston Villa,40,0.01,0,0
47,Morgan Rogers,MID,Aston Villa,68,3.24,3,90
48,Youri Tielemans,MID,Aston Villa,59,0.0,0,0
50,Emiliano Buendía Stati,MID,Aston Villa,53,1.57,4,28
52,Jacob Ramsey,MID,Newcastle,53,0.85,0,0
53,Donyell Malen,MID,Aston Villa,51,2.45,1,4
54,John McGinn,MID,Aston Villa,54,2.58,3,73
55,Ross Barkley,MID,Aston Villa,48,0.7,1,16
58,Boubacar Kamara,MID,Aston Villa,49,2.35,2,90
59,Amadou Onana,MID,Aston Villa,48,2.31,3,90
60,Ben Broggio,MID,Aston Villa,45,0.01,0,0
62,Jamaldeen Jimoh-Aloba,MID,Aston Villa,45,0.0,0,0
63,Kadan Young,MID,Aston Villa,44,0.01,0,0
64,Ollie Watkins,FWD,Aston Villa,86,3.53,2,85
67,Đorđe Petrović,GK,Bournemouth,45,3.8,8,90
68,Will Dennis,GK,Bournemouth,40,0.04,0,0
69,Callan McKenna,GK,Bournemouth,40,0.0,0,0
72,Marcos Senesi Barón,DEF,Bournemouth,50,4.62,5,90
73,Adam Smith,DEF,Bournemouth,44,0.55,0,0
74,Adrien Truffert,DEF,Bournemouth,45,4.32,10,90
75,Matai Akinmboni,DEF,Bournemouth,39,0.0,0,0
76,Owen Bevan,DEF,Bournemouth,39,0.0,0,0
77,James Hill,DEF,Bournemouth,40,1.79,0,0
78,Julián Araujo Zúñiga,DEF,Bournemouth,39,0.28,0,0
80,Julio Soler Barreto,DEF,Bournemouth,40,0.35,0,0
81,Justin Kluivert,MID,Bournemouth,70,4.22,2,68
82,Antoine Semenyo,MID,Bournemouth,81,5.37,3,90
83,Dango Ouattara,MID,Brentford,60,2.64,11,90
84,Marcus Tavernier,MID,Bournemouth,55,3.98,11,90
85,Tyler Adams,MID,Bournemouth,50,3.56,6,90
86,David Brooks,MID,Bournemouth,50,0.61,0,21
87,Ryan Christie,MID,Bournemouth,50,1.51,1,10
88,Lewis Cook,MID,Bournemouth,49,0.58,1,1
90,Alex Scott,MID,Bournemouth,50,2.91,3,79
97,Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,70,0.0,0,0
98,Enes Ünal,FWD,Bournemouth,54,0.0,1,1
100,Junior Kroupi,FWD,Bournemouth,45,4.18,12,136
101,Caoimhín Kelleher,GK,Brentford,45,2.93,2,90
102,Ellery Balcombe,GK,Brentford,40,0.0,0,0
103,Matthew Cox,GK,Brentford,40,0.0,0,0
104,Julian Eyestone,GK,Brentford,40,0.0,0,0
105,Hákon Rafn Valdimarsson,GK,Brentford,39,0.03,0,0
106,Nathan Collins,DEF,Brentford,49,3.16,3,90
107,Keane Lewis-Potter,DEF,Brentford,49,1.17,0,11
108,Kristoffer Ajer,DEF,Brentford,44,1.93,4,90
109,Rico Henry,DEF,Brentford,44,0.65,1,1
110,Michael Kayode,DEF,Brentford,45,2.26,1,90
111,Ethan Pinnock,DEF,Brentford,43,0.99,0,0
113,Sepp van den Berg,DEF,Brentford,45,2.94,3,90
114,Benjamin Arthur,DEF,Brentford,39,0.02,0,0
116,Aaron Hickey,DEF,Brentford,40,0.0,0,0
119,Bryan Mbeumo,MID,Man Utd,80,4.7,15,90
120,Kevin Schade,MID,Brentford,70,4.22,7,78
121,Mikkel Damsgaard,MID,Brentford,58,3.64,7,78
122,Antoni Milambo,MID,Brentford,53,0.0,0,0
123,Fábio Freitas Gouveia Carvalho,MID,Brentford,49,0.36,0,0
124,Jordan Henderson,MID,Brentford,50,2.66,2,90
125,Vitaly Janelt,MID,Brentford,49,0.89,4,61
126,Mathias Jensen,MID,Brentford,49,0.65,1,11
